veckonummer,Kommun_stadsdel,tot_antal_fall_per10000inv,antal_fall_per10000_inv,tot_antal_fall,nya_fall_vecka
7,Tyresö,0,0,0,0
7,Täby,0,0,0,0
7,Töreboda,0,0,0,0
7,Uddevalla,0,0,0,0
7,Ulricehamn,0,0,0,0
7,Umeå,0,0,0,0
7,Upplands Väsby,0,0,0,0
7,Upplands-Bro,0,0,0,0
7,Uppsala,0,0,0,0
7,Uppvidinge,0,0,0,0
7,Vadstena,0,0,0,0
7,Vaggeryd,0,0,0,0
7,Valdemarsvik,0,0,0,0
7,Vallentuna,0,0,0,0
7,Vansbro,0,0,0,0
7,Vara,0,0,0,0
7,Varberg,0,0,0,0
7,Vaxholm,0,0,0,0
7,Vellinge,0,0,0,0
7,Vetlanda,0,0,0,0
7,Vilhelmina,0,0,0,0
7,Vimmerby,0,0,0,0
7,Vindeln,0,0,0,0
7,Vingåker,0,0,0,0
7,Vårgårda,0,0,0,0
7,Vänersborg,0,0,0,0
7,Vännäs,0,0,0,0
7,Värmdö,0,0,0,0
7,Värnamo,0,0,0,0
7,Västervik,0,0,0,0
7,Västerås,0,0,0,0
7,Växjö,0,0,0,0
7,Ydre,0,0,0,0
7,Ystad,0,0,0,0
7,Åmål,0,0,0,0
7,Ånge,0,0,0,0
7,Åre,0,0,0,0
7,Årjäng,0,0,0,0
7,Åsele,0,0,0,0
7,Åstorp,0,0,0,0
7,Åtvidaberg,0,0,0,0
7,Älmhult,0,0,0,0
7,Älvdalen,0,0,0,0
7,Älvkarleby,0,0,0,0
7,Älvsbyn,0,0,0,0
7,Ängelholm,0,0,0,0
7,Öckerö,0,0,0,0
7,Ödeshög,0,0,0,0
7,Örebro,0,0,0,0
7,Örkelljunga,0,0,0,0
7,Örnsköldsvik,0,0,0,0
7,Östersund,0,0,0,0
7,Österåker,0,0,0,0
7,Östhammar,0,0,0,0
7,Östra Göinge,0,0,0,0
7,Överkalix,0,0,0,0
7,Övertorneå,0,0,0,0
8,Ale,0,0,0,0
8,Alingsås,0,0,0,0
8,Alvesta,0,0,0,0
8,Aneby,0,0,0,0
8,Arboga,0,0,0,0
8,Arjeplog,0,0,0,0
8,Arvidsjaur,0,0,0,0
8,Arvika,0,0,0,0
8,Askersund,0,0,0,0
8,Avesta,0,0,0,0
8,Bengtsfors,0,0,0,0
8,Berg,0,0,0,0
8,Bjurholm,0,0,0,0
8,Bjuv,0,0,0,0
8,Boden,0,0,0,0
8,Bollebygd,0,0,0,0
8,Bollnäs,0,0,0,0
8,Borgholm,0,0,0,0
8,Borlänge,0,0,0,0
8,Borås,0,0,0,0
8,Botkyrka,0,0,0,0
8,Boxholm,0,0,0,0
